cabin_class,seat,airline_code,airline,flight_number,aircraft,aircraft_type,dep_airport,dep_airport_name,arr_airport,arr_airport_name,month,year,time_in_air,dep_country,arr_country,aircraft_family,airline_family
Economy,None,AI,Air India,539,77L,Boeing 777-200LR,DEL,Indira Gandhi International Airport  Delhi,JFK,John F. Kennedy International Airport  New York,11,2016,14:51:00,India,United States,Boeing 777,Star Alliance
Economy,None,AI,Air India,539,319,Airbus A319,MAA,Chennai International Airport,DEL,Indira Gandhi International Airport  Delhi,11,2016,2:50:00,India,India,Airbus A319,Star Alliance
Economy,None,UL,SriLankan Airlines,123,320,Airbus A320,CMB,Bandaranaike International Airport  Colombo,MAA,Chennai International Airport,1,2016,1:20:00,Sri Lanka,India,Airbus A320,OneWorld
Economy,None,UL,SriLankan Airlines,315,321,Airbus A321,KUL,Kuala Lumpur International Airport,CMB,Bandaranaike International Airport  Colombo,1,2016,3:45:00,Malaysia,Sri Lanka,Airbus A321,OneWorld
Economy,None,MH,Malaysia Airlines,2328,333,Airbus A330-300,MEL,Melbourne Airport,KUL,Kuala Lumpur International Airport,1,2016,8:20:00,Australia,Malaysia,Airbus A330,OneWorld
Economy,None,VA,Virgin Australia Airlines,878,738,Boeing 737-800,SYD,Sydney Kingsford Smith Airport,MEL,Melbourne Airport,1,2016,1:35:00,Australia,Australia,Boeing 737,Other
Economy,None,VA,Virgin Australia Airlines,833,738,Boeing 737-800,MEL,Melbourne Airport,SYD,Sydney Kingsford Smith Airport,12,2015,1:35:00,Australia,Australia,Boeing 737,Other
Economy,None,VA,Virgin Australia Airlines,302,738,Boeing 737-800,BNE,Brisbane Airport,MEL,Melbourne Airport,11,2015,2:15:00,Australia,Australia,Boeing 737,Other
Economy,None,VA,Virgin Australia Airlines,790,738,Boeing 737-800,CNS,Cairns Airport,BNE,Brisbane Airport,11,2015,2:00:00,Australia,Australia,Boeing 737,Other
Economy,None,JQ,Jetstar,940,320,Airbus A320,MEL,Melbourne Airport,CNS,Cairns Airport,11,2015,3:16:00,Australia,Australia,Airbus A320,OneWorld
Economy,23K,MH,Malaysia Airlines,149,333,Airbus A330-300,KUL,Kuala Lumpur International Airport,MEL,Melbourne Airport,11,2015,8:55:00,Malaysia,Australia,Airbus A330,OneWorld
Business,4A,UL,SriLankan Airlines,314,321,Airbus A321,CMB,Bandaranaike International Airport  Colombo,KUL,Kuala Lumpur International Airport,11,2015,3:45:00,Sri Lanka,Malaysia,Airbus A321,OneWorld
Economy,19A,UL,SriLankan Airlines,126,320,Airbus A320,MAA,Chennai International Airport,CMB,Bandaranaike International Airport  Colombo,11,2015,1:20:00,India,Sri Lanka,Airbus A320,OneWorld
Economy,None,SG,SpiceJet,309,738,Boeing 737-800,DEL,Indira Gandhi International Airport  Delhi,MAA,Chennai International Airport,6,2015,2:50:00,India,India,Boeing 737,Other
Economy,None,SG,SpiceJet,2328,DH8,De Havilland Canada Dash 8,DED,Jolly Grant Airport  Dehradun,DEL,Indira Gandhi International Airport  Delhi,6,2015,1:00:00,India,India,De Havilland,Other
Economy,None,SG,SpiceJet,2325,DH8,De Havilland Canada Dash 8,DEL,Indira Gandhi International Airport  Delhi,DED,Jolly Grant Airport  Dehradun,6,2015,0:45:00,India,India,De Havilland,Other
Economy,None,SG,SpiceJet,312,738,Boeing 737-800,MAA,Chennai International Airport,DEL,Indira Gandhi International Airport  Delhi,6,2015,2:40:00,India,India,Boeing 737,Other
Economy,None,AI,Air India,765,321,Airbus A321,CCU,Netaji Subhash Chandra Bose International Airport Kolkata,MAA,Chennai International Airport,6,2013,2:11:00,India,India,Airbus A321,Star Alliance
Economy,None,AI,Air India,739,320,Airbus A320,GAU,Lokpriya Gopinath Bordoloi International Airport  Guwahati,CCU,Netaji Subhash Chandra Bose International Airport Kolkata,6,2013,1:05:00,India,India,Airbus A320,Star Alliance
Economy,None,6E,IndiGo,292,320,Airbus A320,MAA,Chennai International Airport,GAU,Lokpriya Gopinath Bordoloi International Airport  Guwahati,6,2013,3:55:00,India,India,Airbus A320,Other
Economy,None,AI,Air India,542,321,Airbus A321,DEL,Indira Gandhi International Airport  Delhi,TIR,Tirupati Airport,6,2013,4:20:00,India,India,Airbus A321,Star Alliance
